years,Nederland,Groningen (PV),Fryslân (PV),Drenthe (PV),Overijssel (PV),Flevoland (PV),Gelderland (PV),Utrecht (PV),Noord-Holland (PV),Zuid-Holland (PV),Zeeland (PV),Noord-Brabant (PV),Limburg (PV),Amsterdam,Arnhem,Assen,'s-Gravenhage (gemeente),Groningen (gemeente),Haarlem,'s-Hertogenbosch,Leeuwarden,Lelystad,Maastricht,Middelburg (Z.),Utrecht (gemeente),Zwolle
2010,31155,1440,935,915,2370,1695,2300,1145,5580,5270,700,4525,2495,2080,190,130,1070,470,270,420,185,555,355,100,270,370
2011,34890,1735,1325,1065,2875,1870,2710,1300,6160,6315,695,4755,2465,2110,270,155,1280,590,345,465,280,535,325,100,265,495
2012,38695,2030,1690,1340,3120,2030,3270,1410,6620,6930,885,5085,2780,2335,340,175,1420,660,360,470,350,585,335,125,290,520
2013,39760,2080,2020,1525,2900,1775,3445,1530,6640,7145,1000,5120,3185,2290,335,200,1330,665,365,410,390,475,380,150,375,405
2014,38560,2255,2285,1550,2565,1305,3480,1415,6690,6920,950,4755,3135,2285,355,195,1170,680,455,355,505,350,360,135,330,245
2015,36250,2375,2215,1465,2420,1075,3605,1390,6505,6235,770,4240,2955,2245,440,195,995,690,490,280,445,280,320,105,335,175
2016,33350,2295,1930,1400,2410,1040,3500,1325,5905,5810,610,3595,2820,2085,420,200,825,670,405,205,410,240,300,95,285,165
2017,29450,2030,1495,1225,2330,1025,3335,1240,5010,5485,480,2860,2530,1820,385,180,730,600,330,170,315,205,275,90,290,185
2018,24120,1635,1055,975,1950,905,2750,1035,3845,4765,425,2395,2150,1395,320,140,645,450,230,150,260,155,265,95,210,180
2019,18850,1315,820,715,1530,660,2240,830,2965,3650,395,1920,1625,1035,285,100,505,365,175,115,205,110,210,95,160,150
2020,13805,970,660,495,1025,515,1650,560,2110,2795,350,1445,1095,785,260,75,380,255,115,95,170,90,140,70,100,90
2021,10310,710,550,360,815,365,1180,390,1600,2100,270,1145,725,590,190,55,250,165,80,90,140,70,95,50,80,65
2022,7345,480,460,270,620,280,850,285,1060,1435,195,875,445,375,125,40,140,90,65,80,105,65,45,35,70,35
